Mot,Poids
you,0.3662467960439878
be,0.3659659319365921
le,0.3047375565243304
être,0.2581141146966448
je,0.20446907018406682
tu,0.20250302143229695
un,0.20166042911010987
ne,0.1836851262367853
pa,0.16795673622262633
de,0.1620585899673167
the,0.1620585899673167
to,0.1544752590676329
it,0.15194748210107165
que,0.1468919281679491
il,0.12947835350941594
ce,0.11234564295827847
have,0.1103795942065086
he,0.10616663259557316
do,0.09071910668880986
what,0.08987651436662278
that,0.08538268864829164
ca,0.08341663989652176
eat,0.08313577578912607
on,0.08173145525214759
and,0.07414812435246379
of,0.07105861917111113
avoir,0.07077775506371543
faire,0.06937343452673696
we,0.06544133702319721
luke,0.06487960880840582
get,0.062070967734448854
qu,0.06038578309007468
en,0.06010491898267898
not,0.05841973433830481
know,0.057577142016117716
aller,0.057015413801326326
as,0.05504936504955645
this,0.05504936504955645
vous,0.05448763683476506
in,0.05083640343862101
will,0.05083640343862101
galvin,0.050555539331225315
pouvoir,0.04999381111643392
don,0.04774689825726835
no,0.04718517004247696
savoir,0.04690430593508126
pour,0.04493825718331139
your,0.044657393075915694
elle,0.04325307253893721
son,0.042410480216750125
go,0.04156788789456303
she,0.04072529557237595
my,0.04044443146498025
vouloir,0.04044443146498025
qui,0.03960183914279316
tout,0.03875924682060607
mina,0.03819751860581468
they,0.03819751860581468
ton,0.037074062176231895
with,0.0367931980688362
choose,0.036512333961440505
est,0.035950605746649114
can,0.03566974163925341
bien,0.03454628520967063
there,0.03454628520967063
for,0.034265421102274936
non,0.034265421102274936
mais,0.03370369288748354
toi,0.03342282878008784
moi,0.03314196467269215
about,0.03286110056529645
like,0.03258023645790076
so,0.03258023645790076
voir,0.03145678002831797
want,0.03089505181352658
see,0.030614187706130884
but,0.03005245949133949
think,0.03005245949133949
nous,0.029771595383943795
etait,0.0294907312765481
etre,0.0294907312765481
say,0.0294907312765481
yes,0.0294907312765481
devoir,0.026962954309986832
all,0.026682090202591137
penser,0.026682090202591137
well,0.02640122609519544
ou,0.026120361987799746
ruby,0.026120361987799746
just,0.025839497880404048
avec,0.025558633773008353
si,0.025558633773008353
ok,0.025277769665612657
plus,0.02499690555821696
up,0.02499690555821696
quelque,0.024435177343425568
here,0.024154313236029873
quoi,0.024154313236029873
du,0.02359258502123848
lui,0.02359258502123848
oh,0.02359258502123848
come,0.023311720913842784
dans,0.023311720913842784
life,0.02303085680644709
tell,0.02303085680644709
good,0.02274999269905139
mon,0.022469128591655695
sur,0.022469128591655695
vie,0.022469128591655695
dire,0.0219074003768643
something,0.021626536269468605
her,0.02134567216207291
if,0.021064808054677215
right,0.021064808054677215
out,0.020783943947281516
rien,0.020783943947281516
comme,0.02050307983988582
dit,0.01994135162509443
thing,0.01994135162509443
oui,0.019660487517698732
se,0.018817895195511643
who,0.018537031088115948
one,0.017975302873324557
time,0.017975302873324557
now,0.01769443876592886
van,0.01769443876592886
at,0.017413574658533163
helsing,0.017413574658533163
how,0.017413574658533163
par,0.01685184644374177
vampire,0.016570982336346074
vraiment,0.01629011822895038
could,0.016009254121554684
au,0.015728390014158985
kill,0.015728390014158985
jamais,0.015166661799367594
why,0.015166661799367594
ici,0.014885797691971897
let,0.014885797691971897
look,0.014885797691971897
simeon,0.014604933584576202
alors,0.014324069477180505
